tanggal, kasus_aktif
1,2
2,2
3,2
4,2
5,4
6,4
7,6
8,19
9,27
10,27
11,60
12,2494
13,2761
14,2924
15,3229
16,3509
17,3778
18,3954
19,4221
20,4472
21,4796
22,5082
23,5307
24,5423
25,5677
26,5869
27,6168
28,6520
29,6845
30,7032
31,7180
32,7304
33,7450
34,7804
35,8160
36,8347
37,8471
38,8769
39,9002
40,9226
41,9465
42,9675
43,10079
44,10361
45,10393
46,10679
47,11123
48,11445
49,11617
50,12025
51,12237
52,12495
53,12808
54,13372
55,14046
56,14413
57,15145
58,15497
59,15717
60,15870
61,16321
62,16802
63,17204
64,17185
65,17552
66,17662
67,17951
68,18129
69,18205
70,18308
71,18806
72,18837
73,19246
74,19739
75,20228
76,20659
77,21145
78,21553
79,21612
80,21973
81,22466
82,22912
83,23625
84,24081
85,24717
86,25022
87,25610
88,26120
89,26778
90,27118
91,27411
92,28183
93,28320
94,28487
95,28703
96,29241
97,29740
98,30091
99,30834
100,31473
101,31798
102,32132
103,33135
104,34668
105,35349
106,35764
107,36455
108,36636
109,37226
110,37247
111,37450
112,37339
113,37598
114,36977
115,36998
116,37083
117,37037
118,36917
119,36808
120,37218
121,37342
122,37292
123,36611
124,37319
125,36986
126,37338
127,36824
128,37244
129,37595
130,37618
131,37530
132,37587
133,38076
134,38539
135,38721
136,39082
137,39242
138,39017
139,39290
140,39484
141,40076
142,40296
143,40705
144,40460
145,39942
146,40119
147,39917
148,39706
149,39355
150,37593
151,38134
152,37812
153,37245
154,37818
155,39132
156,40525
157,41420
158,42009
159,43059
160,45524
161,46324
162,47509
163,48207
164,48847
165,49806
166,51237
167,52179
168,53638
169,54649
170,54277
171,55000
172,55792
173,56720
174,56409
175,56889
176,57796
177,58378
178,58788
179,59453
180,60064
181,60431
182,61628
183,61813
184,61379
185,61686
186,61321
187,61839
188,63187
189,63399
190,63894
191,63274
192,63365
193,63951
194,64924
195,65314
196,65706
197,66578
198,66262
199,65299
200,64742
201,63231
202,63570
203,63739
204,64032
205,63380
206,62455
207,62743
208,63576
209,63733
210,63556
211,62649
212,61851
213,60694
214,61078
215,60569
216,58868
217,58418
218,56899
219,55792
220,54732
221,54190
222,54306
223,54427
224,54879
225,54804
226,53614
227,53846
228,54300
229,55274
230,57604
231,59765
232,59911
233,59909
234,60426
235,60870
236,61306
237,62080
238,63579
239,63596
240,63722
241,64878
242,65804
243,66752
244,68604
245,69370
246,71658
247,71420
248,72015
249,73429
250,77969
251,80023
252,81669
253,83285
254,84481
255,85345
256,87284
257,88622
258,89846
259,91602
260,93165
261,93396
262,93662
263,94922
264,97139
265,98688
266,102029
267,103239
268,104809
269,105146
270,106528
271,108269
272,108946
273,109150
274,108452
275,107789
276,108636
277,109439
278,109963
279,111005
280,110400
281,110679
282,110089
283,110693
284,112593
285,114766
286,117704
287,120928
288,122873
289,123636
290,126313
291,129628
292,133149
293,138238
294,143517
295,145482
296,144798
297,146842
298,149388
299,151658
300,156683
301,158751
302,162617
303,161636
304,163526
305,164113
306,166540
307,170017
308,174083
309,175095
310,175349
311,172576
312,175236
313,174798
314,176672
315,176433
316,176291
317,171288
318,169351
319,168416
320,166492
321,165086
322,161731
323,159012
324,158498
325,160689
326,162182
327,160494
328,160142
329,158197
330,157088
331,157148
332,158604
333,158162
334,157705
335,158408
336,157039
337,155765
338,153074
339,149645
340,147197
341,147845
342,148356
343,147172
344,147740
345,145628
346,144311
347,144213
348,141070
349,140451
350,138942
351,137912
352,136524
353,134042
354,131695
355,131753
356,131828
357,131616
358,129844
359,128250
360,126439
361,123926
362,125279
363,124497
364,124517
365,124236
366,123694
367,122326
368,122524
369,121222
370,121011
371,120068
372,116709
373,114475
374,114566
375,113570
376,111271
377,110138
378,111137
379,109958
380,109372
381,108599
382,108384
383,108032
384,107297
385,106243
386,105859
387,104319
388,102930
389,101106
390,101191
391,100533
392,99970
393,100474
394,100652
395,100256
396,100502
397,100102
398,100213
399,100250
400,100760
401,100564
402,99087
403,98217
404,98277
405,98546
406,99003
407,98395
408,96742
409,95924
410,95709
411,94857
412,93576
413,91636
414,90800
415,89129
416,87514
417,87829
418,88439
419,89429
420,91240
421,92847
422,93393
423,94486
424,96187
425,98405
426,98704
427,99690
428,101639
429,102006
430,101325
431,100364
432,94438
433,94773
434,96973
435,98455
436,99663
437,99963
438,101635
439,104655
440,106315
441,108324
442,113388
443,115197
444,116787
445,120306
446,125303
447,130096
448,135738
449,142719
450,147728
451,152686
452,160524
453,171542
454,181435
455,194776
456,207685
457,218476
458,228835
459,239368
460,253826
461,267539
462,281677
463,295228
464,309999
465,324597
466,343101
467,359455
468,367733
469,373440
470,376015
471,380797
472,407709
473,443473
474,480199
475,504915
476,527872
477,542236
478,542938
479,550192
480,549694
481,561384
482,569901
483,574135
484,573908
485,560275
486,556281
487,558392
488,554484
489,549343
490,545447
491,535135
492,523164
493,524142
494,524011
495,518310
496,507375
497,497824
498,474233
499,448508
500,437055
501,426170
502,412776
503,400129
504,395577
505,384807
506,371021
507,358357
508,343203
509,334752
510,327286
511,319658
512,306760
513,290764
514,273750
515,257677
516,243588
517,236317
518,227182
519,217590
520,203060
521,196281
522,189571
523,176638
524,168317
525,160699
526,155519
527,146271
528,138630
529,132823
530,118534
531,115679
532,109869
533,99696
534,92328
535,84963
536,73238
