tanggal, kasus_aktif
02-Mar, 2
03-Mar, 2
04-Mar, 2
05-Mar, 2
06-Mar, 4
07-Mar, 4
08-Mar, 6
09-Mar, 19
10-Mar, 27
12-Mar, 27
13-Mar, 60
08-Apr, 2494
09-Apr, 2761
10-Apr, 2924
11-Apr, 3229
12-Apr, 3509
13-Apr, 3778
14-Apr, 3954
15-Apr, 4221
16-Apr, 4472
17-Apr, 4796
18-Apr, 5082
19-Apr, 5307
20-Apr, 5423
21-Apr, 5677
22-Apr, 5869
23-Apr, 6168
24-Apr, 6520
25-Apr, 6845
26-Apr, 7032
27-Apr, 7180
28-Apr, 7304
29-Apr, 7450
30-Apr, 7804
01-Mei, 8160
02-Mei, 8347
03-Mei, 8471
04-Mei, 8769
05-Mei, 9002
06-Mei, 9226
07-Mei, 9465
08-Mei, 9675
09-Mei, 10079
10-Mei, 10361
11-Mei, 10393
12-Mei, 10679
13-Mei, 11123
14-Mei, 11445
15-Mei, 11617
16-Mei, 12025
17-Mei, 12237
18-Mei, 12495
19-Mei, 12808
20-Mei, 13372
21-Mei, 14046
22-Mei, 14413
23-Mei, 15145
24-Mei, 15497
25-Mei, 15717
26-Mei, 15870
27-Mei, 16321
28-Mei, 16802
29-Mei, 17204
30-Mei, 17185
31-Mei, 17552
01-Jun, 17662
02-Jun, 17951
03-Jun, 18129
04-Jun, 18205
05-Jun, 18308
06-Jun, 18806
07-Jun, 18837
08-Jun, 19246
09-Jun, 19739
10-Jun, 20228
11-Jun, 20659
12-Jun, 21145
13-Jun, 21553
14-Jun, 21612
15-Jun, 21973
16-Jun, 22466
17-Jun, 22912
18-Jun, 23625
19-Jun, 24081
20-Jun, 24717
21-Jun, 25022
22-Jun, 25610
23-Jun, 26120
24-Jun, 26778
25-Jun, 27118
26-Jun, 27411
27-Jun, 28183
28-Jun, 28320
29-Jun, 28487
30-Jun, 28703
01-Jul, 29241
02-Jul, 29740
03-Jul, 30091
04-Jul, 30834
05-Jul, 31473
06-Jul, 31798
07-Jul, 32132
08-Jul, 33135
09-Jul, 34668
10-Jul, 35349
11-Jul, 35764
12-Jul, 36455
13-Jul, 36636
14-Jul, 37226
15-Jul, 37247
16-Jul, 37450
17-Jul, 37339
18-Jul, 37598
19-Jul, 36977
20-Jul, 36998
21-Jul, 37083
22-Jul, 37037
23-Jul, 36917
24-Jul, 36808
25-Jul, 37218
26-Jul, 37342
27-Jul, 37292
28-Jul, 36611
29-Jul, 37319
30-Jul, 36986
31-Jul, 37338
01-Agu, 36824
02-Agu, 37244
03-Agu, 37595
04-Agu, 37618
05-Agu, 37530
06-Agu, 37587
07-Agu, 38076
08-Agu, 38539
09-Agu, 38721
10-Agu, 39082
11-Agu, 39242
12-Agu, 39017
13-Agu, 39290
14-Agu, 39484
15-Agu, 40076
16-Agu, 40296
17-Agu, 40705
18-Agu, 40460
19-Agu, 39942
20-Agu, 40119
21-Agu, 39917
22-Agu, 39706
23-Agu, 39355
24-Agu, 37593
25-Agu, 38134
26-Agu, 37812
27-Agu, 37245
28-Agu, 37818
29-Agu, 39132
30-Agu, 40525
31-Agu, 41420
01-Sep, 42009
02-Sep, 43059
04-Sep, 45524
05-Sep, 46324
06-Sep, 47509
07-Sep, 48207
08-Sep, 48847
09-Sep, 49806
10-Sep, 51237
11-Sep, 52179
12-Sep, 53638
13-Sep, 54649
14-Sep, 54277
15-Sep, 55000
16-Sep, 55792
17-Sep, 56720
18-Sep, 56409
19-Sep, 56889
20-Sep, 57796
21-Sep, 58378
22-Sep, 58788
23-Sep, 59453
24-Sep, 60064
25-Sep, 60431
26-Sep, 61628
27-Sep, 61813
28-Sep, 61379
29-Sep, 61686
30-Sep, 61321
01-Okt, 61839
02-Okt, 63187
03-Okt, 63399
04-Okt, 63894
05-Okt, 63274
06-Okt, 63365
07-Okt, 63951
08-Okt, 64924
09-Okt, 65314
10-Okt, 65706
11-Okt, 66578
12-Okt, 66262
13-Okt, 65299
14-Okt, 64742
15-Okt, 63231
16-Okt, 63570
17-Okt, 63739
18-Okt, 64032
19-Okt, 63380
20-Okt, 62455
21-Okt, 62743
22-Okt, 63576
23-Okt, 63733
24-Okt, 63556
