tanggal, kasus_aktif
02/03/20,2
03/03/20,2
04/03/20,2
05/03/20,2
06/03/20,4
07/03/20,4
08/03/20,6
09/03/20,19
10/03/20,27
12/03/20,27
13/03/20,60
08/04/20,2494
09/04/20,2761
10/04/20,2924
11/04/20,3229
12/04/20,3509
13/04/20,3778
14/04/20,3954
15/04/20,4221
16/04/20,4472
17/04/20,4796
18/04/20,5082
19/04/20,5307
20/04/20,5423
21/04/20,5677
22/04/20,5869
23/04/20,6168
24/04/20,6520
25/04/20,6845
26/04/20,7032
27/04/20,7180
28/04/20,7304
29/04/20,7450
30/04/20,7804
01/05/20,8160
02/05/20,8347
03/05/20,8471
04/05/20,8769
05/05/20,9002
06/05/20,9226
07/05/20,9465
08/05/20,9675
09/05/20,10079
10/05/20,10361
11/05/20,10393
12/05/20,10679
13/05/20,11123
14/05/20,11445
15/05/20,11617
16/05/20,12025
17/05/20,12237
18/05/20,12495
19/05/20,12808
20/05/20,13372
21/05/20,14046
22/05/20,14413
23/05/20,15145
24/05/20,15497
25/05/20,15717
26/05/20,15870
27/05/20,16321
28/05/20,16802
29/05/20,17204
30/05/20,17185
31/05/20,17552
01/06/20,17662
02/06/20,17951
03/06/20,18129
04/06/20,18205
05/06/20,18308
06/06/20,18806
07/06/20,18837
08/06/20,19246
09/06/20,19739
10/06/20,20228
11/06/20,20659
12/06/20,21145
13/06/20,21553
14/06/20,21612
15/06/20,21973
16/06/20,22466
17/06/20,22912
18/06/20,23625
19/06/20,24081
20/06/20,24717
21/06/20,25022
22/06/20,25610
23/06/20,26120
24/06/20,26778
25/06/20,27118
26/06/20,27411
27/06/20,28183
28/06/20,28320
29/06/20,28487
30/06/20,28703
01/07/20,29241
02/07/20,29740
03/07/20,30091
04/07/20,30834
05/07/20,31473
06/07/20,31798
07/07/20,32132
08/07/20,33135
09/07/20,34668
10/07/20,35349
11/07/20,35764
12/07/20,36455
13/07/20,36636
14/07/20,37226
15/07/20,37247
16/07/20,37450
17/07/20,37339
18/07/20,37598
19/07/20,36977
20/07/20,36998
21/07/20,37083
22/07/20,37037
23/07/20,36917
24/07/20,36808
25/07/20,37218
26/07/20,37342
27/07/20,37292
28/07/20,36611
29/07/20,37319
30/07/20,36986
31/07/20,37338
01/08/20,36824
02/08/20,37244
03/08/20,37595
04/08/20,37618
05/08/20,37530
06/08/20,37587
07/08/20,38076
08/08/20,38539
09/08/20,38721
10/08/20,39082
11/08/20,39242
12/08/20,39017
13/08/20,39290
14/08/20,39484
15/08/20,40076
16/08/20,40296
17/08/20,40705
18/08/20,40460
19/08/20,39942
20/08/20,40119
21/08/20,39917
22/08/20,39706
23/08/20,39355
24/08/20,37593
25/08/20,38134
26/08/20,37812
27/08/20,37245
28/08/20,37818
29/08/20,39132
30/08/20,40525
31/08/20,41420
01/09/20,42009
02/09/20,43059
03/09/20,45524
04/09/20,46324
05/09/20,47509
06/09/20,48207
07/09/20,48847
08/09/20,49806
09/09/20,51237
10/09/20,52179
11/09/20,53638
12/09/20,54649
13/09/20,54277
14/09/20,55000
15/09/20,55792
16/09/20,56720
17/09/20,56409
18/09/20,56889
19/09/20,57796
20/09/20,58378
21/09/20,58788
22/09/20,59453
23/09/20,60064
24/09/20,60431
25/09/20,61628
26/09/20,61813
27/09/20,61379
28/09/20,61686
29/09/20,61321
01/10/20,61839
02/10/20,63187
03/10/20,63399
04/10/20,63894
05/10/20,63274
06/10/20,63365
07/10/20,63951
08/10/20,64924
09/10/20,65314
10/10/20,65706
11/10/20,66578
12/10/20,66262
13/10/20,65299
14/10/20,64742
15/10/20,63231
16/10/20,63570
17/10/20,63739
18/10/20,64032
19/10/20,63380
20/10/20,62455
21/10/20,62743
22/10/20,63576
23/10/20,63733
24/10/20,63556
25/10/20,62649
26/10/20,61851
27/10/20,60694
28/10/20,61078
29/10/20,60569
30/10/20,58868
31/10/20,58418
01/11/20,56899
02/11/20,55792
03/11/20,54732
04/11/20,54190
05/11/20,54306
06/11/20,54427
07/11/20,54879
08/11/20,54804
09/11/20,53614
10/11/20,53846
11/11/20,54300
12/11/20,55274
13/11/20,57604
14/11/20,59765
15/11/20,59911
16/11/20,59909
17/11/20,60426
18/11/20,60870
19/11/20,61306
20/11/20,62080
21/11/20,63579
22/11/20,63596
23/11/20,63722
24/11/20,64878
25/11/20,65804
26/11/20,66752
27/11/20,68604
28/11/20,69370
29/11/20,71658
30/11/20,71420
01/12/20,72015
02/12/20,73429
03/12/20,77969
04/12/20,80023
05/12/20,81669
06/12/20,83285
07/12/20,84481
08/12/20,85345
09/12/20,87284
10/12/20,88622
11/12/20,89846
12/12/20,91602
13/12/20,93165
14/12/20,93396
15/12/20,93662
16/12/20,94922
17/12/20,97139
18/12/20,98688
19/12/20,102029
20/12/20,103239
21/12/20,104809
22/12/20,105146
23/12/20,106528
24/12/20,108269
25/12/20,108946
26/12/20,109150
27/12/20,108452
28/12/20,107789
29/12/20,108636
30/12/20,109439
31/12/20,109963
01/01/21,111005
02/01/21,110400
03/01/21,110679
04/01/21,110089
05/01/21,110693
06/01/21,112593
07/01/21,114766
08/01/21,117704
09/01/21,120928
10/01/21,122873
11/01/21,123636
12/01/21,126313
13/01/21,129628
14/01/21,133149
15/01/21,138238
16/01/21,143517
17/01/21,145482
18/01/21,144798
19/01/21,146842
20/01/21,149388
21/01/21,151658
22/01/21,156683
23/01/21,158751
24/01/21,162617
25/01/21,161636
26/01/21,163526
27/01/21,164113
28/01/21,166540
29/01/21,170017
30/01/21,174083
31/01/21,175095
